"",n","p","q","success","bInit","b","i","time (µs)"
"","598054177453","503441","1187933","true","3","385147468231","31","171"
"","111999302329","101489","1103561","true","3","76374146128","587","1778"
"","194603298719","447221","435139","true","3","13120746268","347","1059"
"","1439208670183","1165471","1234873","true","3","1055445875717","733","3328"
"","250290830411","410093","610327","true","3","244537277783","827","2629"
"","535074204059","494341","1082399","true","3","69645726127","107","328"
"","73039558759","116707","625837","true","3","64077161402","367","1075"
"","11559867079","643681","17959","true","3","4968680613","73","381"
"","430038086353","345307","1245379","true","3","295218493116","233","738"
"","57262750043","990037","57839","true","3","30541651414","103","384"
"","303737581363","266081","1141523","true","3","16176926558","1663","5894"
"","697526058799","587989","1186291","true","3","501205574919","269","1163"
"","936579750331","1262293","741967","true","3","62179290888","2843","12727"
"","9239438729","12613","732533","true","3","1216737314","499","1424"
"","22551465173","327721","68813","true","3","6288638270","2731","9378"
"","392032230091","1200943","326437","true","3","160853104478","487","1466"
"","173948960503","670507","259429","true","3","23520351999","1663","6106"
"","418414556689","836881","499969","true","3","219499390195","31","114"
"","397475296489","1212521","327809","true","3","175101472014","197","783"
"","632587634401","770611","820891","true","3","513021576688","1303","4979"
"","1141545609289","1254767","909767","true","3","523933905534","3181","11707"
"","2770669049","7411","373859","true","3","1900669527","19","86"
"","303925623539","450421","674759","true","3","165702679165","7507","27313"
"","535104946049","696413","768373","true","3","317640933431","1153","3986"
"","1057343632067","1008499","1048433","true","3","491319817760","37","132"
"","66197557457","202859","326323","true","3","25746558378","6043","20061"
"","862963937207","1214011","710837","true","3","814113348579","47","262"
"","487583190631","1269077","384203","true","3","459769198650","2111","7287"
"","174215046881","178249","977369","true","3","162745621667","563","1683"
"","1112714076989","998947","1113887","true","3","1045519907035","1423","5366"
"","58773773","6521","9013","true","3","31026919","163","415"
"","228190060583","1216151","187633","true","3","147532450507","1303","4248"
"","58248951337","130183","447439","true","3","5455058250","1669","5334"
"","265713403103","668221","397643","true","3","243835847564","43","228"
"","354580043039","330653","1072363","true","3","220027087097","241","860"
"","264760648219","633931","417649","264760648219","3","1","113","465"
"","333639441461","549683","606967","true","3","146299229817","79","831"
"","707735726849","1144261","618509","true","3","543438155426","163","744"
"","1352620252051","1073279","1260269","true","3","933755949838","31567","127518"
"","273813577033","378241","723913","true","3","148187162840","139","462"
"","91897229693","762563","120511","true","3","40489767825","103","425"
"","517205557021","694313","744917","true","3","40858237112","1471","5344"
"","399124208599","771587","517277","true","3","289531834272","7607","27506"
"","244623988997","934489","261773","true","3","37248727263","9349","34865"
"","358944386369","664253","540373","true","3","292197513410","919","3108"
"","516045632471","680161","758711","true","3","159906531262","109","412"
"","268819264309","386041","696349","true","3","182966396100","58","188"
"","202528554169","292819","691651","true","3","105754129552","53","154"
"","459876383327","454501","1011827","true","3","451674003781","101","362"
"","17748683369","15331","1157699","true","3","13716921659","73","308"
"","288040489453","1031623","279211","true","3","213443128162","227","716"
"","1035506973451","831091","1245961","true","3","457005305627","2131","9159"
"","23711306383","484171","48973","true","3","4752878624","53","159"
"","557109347","8017","69491","true","3","338670149","167","370"
"","2672833529","438961","6089","true","3","1649176478","59","156"
"","22721569727","72043","315389","true","3","18809484572","2131","6948"
"","64197512503","802499","79997","true","3","27115638712","1307","3804"
"","33542655943","84979","394717","true","3","4723578340","127","327"
"","557173790209","880903","632503","true","3","15273049942","53","190"
"","902595501173","1261223","715651","true","3","22126497619","367","1153"
"","26355278767","56779","464173","true","3","4502942274","823","2794"
"","225097309243","190769","1179947","true","3","205191603354","227","756"
"","374669643703","334043","1121621","true","3","65184126037","56081","216748"
"","146080040023","1049599","139177","true","3","60971205911","31","101"
"","305747739943","296159","1032377","true","3","187005802158","7591","31196"
"","81652017803","372461","219223","true","3","63692392752","641","2604"
"","491981094461","611557","804473","true","3","271057962883","113","423"
"","322269421081","1099997","292973","true","3","149642491884","118","472"
"","3479805449","32983","105503","true","3","2633249378","107","305"
"","63474306653","76463","830131","true","3","63357258183","67","283"
"","692450893201","926843","747107","true","3","362530932079","277","1015"
"","70638204853","157253","449201","true","3","68864310105","1123","3608"
"","303303455437","349109","868793","true","3","48039908936","829","2864"
"","1027263560371","932231","1101941","true","3","824148137861","101","414"
"","238645069603","344969","691787","true","3","212061068526","107","433"
"","27552048449","41521","663569","true","3","8630139851","173","524"
"","193871087539","153443","1263473","true","3","16277322660","389","2344"
"","962025944251","847423","1135237","true","3","310922888393","5231","18892"
"","1295249920333","1216973","1064321","true","3","1056427487895","829","2893"
"","37867853123","736027","51449","true","3","1410165642","109","634"
"","134348750059","117437","1144007","true","3","61350732919","157","527"
"","92664609641","532981","173861","true","3","50270767921","47","221"
"","30801338951","214087","143873","true","3","5277405514","281","781"
"","109582631399","643729","170231","true","3","32800279312","587","1965"
"","1047081399113","1235977","847169","true","3","707081981330","61","267"
"","329366542321","536273","614177","true","3","300953189963","277","1348"
"","11804643229","1135171","10399","true","3","8346965331","1733","6603"
"","1146074398897","1133357","1011221","true","3","1080878958586","233","1429"
"","15456023549","447443","34543","true","3","6451699740","101","484"
"","335735208559","363941","922499","true","3","97198450753","587","2113"
"","79344009133","720857","110069","true","3","24910816081","3931","12993"
"","684409650137","571049","1198513","true","3","527396057547","41","132"
"","114337570069","724513","157813","true","3","68436773468","7547","28298"
"","122537081171","337511","363061","true","3","36805308876","2017","7481"
"","998256753203","994667","1003609","998256753203","3","1","263","827"
"","939469062523","739549","1270327","true","3","435122566657","1097","3857"
"","140103637391","862033","162527","true","3","62725832908","19","82"
"","329744595757","314299","1049143","true","3","200500761071","919","3045"
"","2636162267","47659","55313","true","3","1175938167","47","220"
"","360793735187","1076903","335029","true","3","180730169073","1153","4045"
"","37414630163","199399","187637","true","3","4434234963","199","594"
"","78521182277","341951","229627","true","3","61717710138","977","3343"
"","538659314131","636997","845623","true","3","480918484446","431","1426"
"","980643087271","1054667","929813","true","3","111304194979","17881","71246"
"","154728165337","126241","1225657","true","3","5887754000","263","826"
"","67662694681","775477","87253","true","3","61105282720","661","2949"
"","571056893801","480409","1188689","true","3","154661912643","541","2088"
"","233670608651","206263","1132877","true","3","48713957763","1637","6043"
"","640601490391","878387","729293","true","3","73224975482","2207","7434"
"","772907708813","951647","812179","true","3","164726144781","45121","180976"
"","320639863849","500891","640139","true","3","287644539234","3169","12196"
"","90865345099","288049","315451","true","3","31496717906","353","1536"
"","39099812183","373721","104623","true","3","38875814341","53","146"
"","1282251550597","1197389","1070873","true","3","275469228775","283","1395"
"","239945410259","371417","646027","true","3","181980587572","2731","9573"
"","134893871041","136523","988067","true","3","52421894686","1823","6666"
"","423101105489","500923","844643","true","3","403310138683","1637","5740"
"","45764276231","41519","1102249","true","3","2372039849","21","82"
"","353558989871","1149221","307651","true","3","91183449287","293","1128"
"","16543336759","185063","89393","true","3","6528013219","151","391"
"","788786628577","710009","1110953","true","3","704269287245","6827","27123"
"","425586421549","1283677","331537","true","3","381634604747","4651","18715"
"","129055684339","155201","831539","true","3","24274833210","97","356"
"","49425918649","50411","980459","true","3","10669740206","142","394"
"","173540804267","899273","192979","true","3","12209202394","151","429"
"","248433342307","1054189","235663","true","3","115990971971","181","557"
"","344232544951","617401","557551","true","3","11108278793","21","79"
"","740339174923","1226257","603739","true","3","622858849296","433","1465"
"","397655605799","488401","814199","true","3","348151768841","37","189"
"","120777996511","431947","279613","true","3","44921624107","421","1397"
"","85059770791","358483","237277","true","3","80280062904","39","192"
"","195802280983","580081","337543","true","3","186009145925","557","1959"
"","458300117413","723799","633187","true","3","382781101151","509","1727"
"","3957892577","9241","428297","true","3","2369059725","11","47"
"","91552387769","1108369","82601","true","3","15071461062","59","187"
"","9718685657","544861","17837","true","3","2180055978","21","73"
"","230901587881","182467","1265443","true","3","65228120694","109","506"
"","1281856749671","1249747","1025693","true","3","544599750697","208291","882269"
"","1082336358413","1100977","983069","true","3","760484483159","1373","4601"
"","355516439027","766333","463919","true","3","147382891030","2549","9877"
"","424151980621","517739","819239","true","3","316767770980","359","1153"
"","87552280943","114311","765913","true","3","28506419937","71","207"
"","195603385091","1205293","162287","true","3","35558554087","397","1283"
"","167309869921","1107917","151013","true","3","73919806410","1987","6804"
"","52006642109","123209","422101","true","3","50197095123","67","183"
"","149968068521","252319","594359","true","3","37321764886","3823","14339"
"","355006900517","809821","438377","true","3","67114725197","409","1339"
"","323023393867","795877","405871","true","3","53502321092","163","529"
"","73089926881","726923","100547","true","3","19325974879","379","1174"
"","502462235837","392297","1280821","true","3","232144963788","21347","81429"
"","172168274017","229637","749741","true","3","16629852267","307","946"
"","671721659989","613999","1094011","true","3","76989948610","443","1697"
"","481374610931","667013","721687","true","3","294466896124","577","1813"
"","159624993811","363719","438869","true","3","15662467579","6271","24733"
"","626514497419","778363","804913","true","3","429064509042","409","2135"
"","50028914407","118163","423389","true","3","24069566775","131","452"
"","87772829713","120607","727759","true","3","80570926650","13477","48527"
"","41649592339","67391","618029","true","3","20464220625","293","941"
"","362334270449","286249","1265801","true","3","55707902011","6329","22631"
"","22606593377","29017","779081","true","3","971895399","31","227"
"","483832530737","406501","1190237","true","3","390805589890","271","880"
"","1033178087237","1216547","849271","true","3","259488809154","28309","114663"
"","133767475129","980549","136421","true","3","70572072629","107","300"
"","176320123961","163543","1078127","true","3","14635463071","281","841"
"","484928845267","400441","1210987","true","3","305213727555","71","227"
"","34340513401","132233","259697","true","3","10379829394","16231","55989"
"","73224570547","172049","425603","true","3","27389512605","10753","38047"
"","137827138217","806483","170899","true","3","32764927180","313","877"
"","753631080157","816377","923141","true","3","14704712990","457","1418"
"","107219744213","255551","419563","true","3","73395414280","163","513"
"","3200568307","182047","17581","true","3","30766751","293","1105"
"","963016277843","926411","1039513","true","3","373278723171","43313","172609"
"","536289019649","813907","658907","true","3","150646860538","439","1373"
"","228488734267","380819","599993","true","3","2760567794","2027","6265"
"","58584941081","404009","145009","true","3","50801873025","53","153"
"","534496359107","841651","635057","true","3","65192603159","181","713"
