#### DATA MINER
Timestamp: 1557854309332
Algorithm: pol3
Iterations limit: 10000
User: ludch
Available cores: 4
Memory available to JVM: 126877696 bytes

""",n","p","q","success","bInit","b","i","time (µs)"
"","621455449781","1239893","501217","true","3","433177293468","227","729"
"","72532990289","843299","86011","true","3","70874440177","61","170"
"","146035208027","435779","335113","true","3","76072196915","1831","6053"
"","414949371289","1294609","320521","true","3","384345064647","2671","9910"
"","782703283249","698273","1120913","true","3","428260504433","317","1066"
"","100045320163","816037","122599","true","3","10082664360","139","380"
"","142706140069","983441","145109","true","3","86351037006","647","2058"
"","190685846327","638059","298853","true","3","189918261351","193","579"
"","235024292147","914737","256931","true","3","106125957267","59","177"
"","328058713601","442319","741679","true","3","44241152351","17659","63565"
"","88184186593","434407","202999","true","3","63424601563","1471","4669"
"","576777324523","453977","1270499","true","3","505631864992","56747","212278"
"","587020777877","1228537","477821","true","3","102362931378","151","489"
"","14380794583","162629","88427","true","3","9005847816","179","520"
"","78610236193","151883","517571","true","3","45592311820","709","2000"
"","717845550641","931639","770519","true","3","30268019472","157","510"
"","505242300401","846397","596933","true","3","41436211533","461","1312"
"","10615221803","671467","15809","true","3","3396152617","19","74"
"","123839135401","254993","485657","true","3","96015360215","3571","11407"
"","127981739129","110069","1162741","true","3","29665466674","3931","12794"
"","575036849771","698039","823789","true","3","430946268204","467","1401"
"","462229231489","891799","518311","true","3","223421066417","443","1358"
"","760238439253","1013431","750163","true","3","553173203903","83","419"
"","841257882259","700751","1200509","true","3","789764596527","2803","9730"
"","607716342239","525029","1157491","true","3","594745500795","1103","4210"
"","182911692577","889921","205537","true","3","54496982199","103","439"
"","396786334561","465079","853159","true","3","82930096807","77513","281706"
"","21802330897","18749","1162853","true","3","10674780649","109","321"
"","10655626763","478453","22271","true","3","1309490259","131","315"
"","5990335049","56543","105943","true","3","3007748343","1663","4513"
"","501709884443","457021","1097783","true","3","95820393924","2539","8328"
"","372866709367","1107583","336649","true","3","180637437176","83","282"
"","105992906941","208721","507821","true","3","96764516648","2609","8431"
"","877712856497","1206377","727561","true","3","835355710200","43","145"
"","229451103499","858631","267229","true","3","148997537386","571","1865"
"","141902618089","806737","175897","true","3","131878910865","35","102"
"","463187805337","988541","468557","true","3","279050296186","307","902"
"","812532581743","967931","839453","true","3","352718896056","2251","7751"
"","1416697871669","1163231","1217899","true","3","1071782431705","1307","4323"
"","669735395657","760433","880729","true","3","53341351886","36697","135425"
"","168815721859","958739","176081","true","3","121240044308","71","206"
"","154270455341","223547","690103","true","3","119077962754","5477","18062"
"","266612970341","711353","374797","true","3","42649275022","359","1373"
"","31018967537","184651","167987","true","3","25119264098","71","190"
"","76731011507","70229","1092583","true","3","44833772227","181","498"
"","100646000563","878291","114593","true","3","25324480036","3581","10691"
"","128276508089","179623","714143","true","3","16806641363","227","707"
"","752481896717","829813","906809","true","3","80912753453","16193","58583"
"","194521699","76493","2543","true","3","65530568","41","141"
"","149014917167","143999","1034833","true","3","39107373904","21559","72247"
"","945529233499","1216351","777349","true","3","428037565954","53","496"
"","5031556279","44021","114299","true","3","4119309097","71","230"
"","22493489611","42307","531673","true","3","12788517654","641","1862"
"","59696444989","264599","225611","true","3","23042328264","11","45"
"","1656878427101","1275779","1298719","true","3","171365972051","3137","10823"
"","364778921621","341521","1068101","true","3","16103758778","971","3023"
"","465458633867","669121","695627","true","3","273352656526","41","187"
"","968796779683","939167","1031549","true","3","942740883493","277","972"
"","127536895817","1075453","118589","true","3","58218572703","59","212"
"","407227773263","813023","500881","true","3","375874125307","2087","7184"
"","184512132863","396709","465107","true","3","92382418249","2543","7952"
"","13234133117","745711","17747","true","3","9457852614","67","167"
"","190407110407","821099","231893","true","3","50226625831","719","2800"
"","4396805407","75743","58049","true","3","2343380082","907","3140"
"","1065357118541","934441","1140101","true","3","619597924989","599","2176"
"","417568594103","682247","612049","true","3","413852232576","311","913"
"","977840390353","994297","983449","true","3","798557637654","157","482"
"","375753650567","577529","650623","true","3","56495546960","2213","7858"
