"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","2800463","2711","1033","true","98548","399469","7","42","1471"
"","2006729","719","2791","true","875132","51787","65","18","8468"
"","235981","643","367","true","67790","105084","0","10","44"
"","5623733","2287","2459","true","552635","1184598","3","89","448068"
"","667619","431","1549","true","450477","388844","31","6","4293"
"","9891547","3391","2917","true","3230683","9351438","71","27","27482"
"","953903","347","2749","true","631014","320377","4","21","904"
"","77309","797","97","true","17884","10124","11","1","2173"
"","1420829","419","3391","true","1409386","1056722","27","27","16290"
"","1141883","1979","577","true","864739","573354","7","14","2541"
"","2607259","2351","1109","true","734697","436376","5","17","3685"
"","1106591","769","1439","true","620305","436514","7","22","869"
"","1768049","947","1867","true","585561","1084050","5","86","19856"
"","1758791","3251","541","true","1183772","1376909","19","13","110219"
"","7596959","2477","3067","true","5937389","3658549","32","99","28903"
"","3177367","3391","937","true","563462","560071","0","1","25"
"","456479","1613","283","true","155044","237307","6","58","3911"
"","5254933","2239","2347","true","1989133","3140","39","16","28736"
"","3474971","2671","1301","true","730405","492686","6","20","2690"
"","1344713","383","3511","true","49893","1133783","4","20","892"
"","43249","709","61","true","32315","18041","4","10","506"
"","499867","1193","419","true","187594","322093","1","14","85"
"","950377","269","3533","true","427154","589672","33","23","24348"
"","123769","61","2029","true","26915","121038","4","1","397"
"","82703","433","191","true","61274","26703","3","6","179"
"","10558531","3187","3313","true","1379686","746903","0","9","70"
"","484553","2707","179","true","153091","12039","2","21","9454"
"","3921767","1697","2311","true","2905026","3011332","1","30","1014"
"","1000469","1301","769","true","205684","75723","2","1","2457"
"","946097","293","3229","true","814033","374889","5","5","731"
"","712087","251","2837","true","672001","337418","20","3","17056"
"","1600031","647","2473","true","618082","1444301","10","16","7587"
"","5737441","1613","3557","true","5456895","1010645","15","66","223863"
"","21583","191","113","true","4554","4745","0","15","42"
"","3612593","1433","2521","true","1340730","1006841","5","18","5875"
"","371731","251","1481","true","146395","338925","6","40","749"
"","6159431","2957","2083","true","492551","1341210","13","87","62159"
"","257479","1307","197","true","8129","136770","12","2","2598"
"","5438221","1619","3359","true","4864609","1159632","2","18","178010"
"","10190533","3023","3371","true","1479087","9907211","0","15","67"
"","443797","1427","311","true","267701","317772","23","10","2216"
"","11366909","3221","3529","true","6910995","2993805","10","33","41517"
"","2057641","919","2239","true","853168","492920","29","25","9935"
"","1935223","761","2543","true","1554724","1506020","13","23","10773"
"","2172623","3181","683","true","1976190","1839407","25","14","33473"
"","153239","523","293","true","56398","15081","1","5","207"
"","3044227","2039","1493","true","1483875","1134513","0","40","79"
"","6826","2","3413","true","2388","3024","0","2","129"
"","743741","1049","709","true","45117","667174","1","23","238"
"","2082089","587","3547","true","821960","835461","12","14","7357"
"","3636671","2143","1697","true","3249835","3429717","37","11","27432"
"","951163","3361","283","true","94958","333810","23","5","4987"
"","482843","2791","173","true","467716","166288","1","60","146"
"","38623","13","2971","true","38381","23457","1","4","84"
"","5562301","1951","2851","true","2422544","4116012","34","41","985870"
"","7320559","2999","2441","true","1984826","7023050","4","15","1033"
"","488491","179","2729","true","245811","412102","19","21","16847"
"","2713723","2447","1109","true","18555","1866040","19","16","14676"
"","569971","167","3413","true","213878","258247","13","29","5928"
"","218027","263","829","true","127580","94968","4","26","14518"
"","605083","181","3343","true","223784","55092","1","5","348"
"","5693951","2143","2657","true","1445740","5532206","65","48","546123"
"","220567","367","601","true","146145","38566","10","19","4462"
"","5690309","2113","2693","true","1670043","3140421","13","26","14159"
"","1208611","601","2011","true","461932","1123032","4","38","3046"
"","1012901","293","3457","true","163226","290095","1","10","184"
"","4284803","2953","1451","true","4040282","3694781","16","56","370715"
"","3117607","977","3191","true","2640283","2227012","41","6","12375"
"","1865273","683","2731","true","322290","1780644","31","17","9366"
"","643607","857","751","true","495099","297586","26","10","11285"
