"n","p","q","success","bInit","b","i","time (µs)"
"255577788287","983699","259813","true","3","243458291277","1031","3120"
"116429576231","269981","431251","true","3","111068263800","25","118"
"493570188977","960229","514013","true","3","271107214945","523","1886"
"372030015871","643547","578093","true","3","190984799644","1381","5864"
"295096538507","467473","631259","true","3","79477422096","9739","37315"
"78267845219","163127","479797","true","3","30775139175","39983","162145"
"110301026467","478573","230479","true","3","69624940153","359","1273"
"227565809033","878663","258991","true","3","165556888859","97","341"
"113354748883","195319","580357","true","3","57935878597","47","195"
"334686457279","598427","559277","true","3","279432686065","1571","5406"
"320595032399","477913","670823","true","3","22275524931","19913","77730"
"494536183357","950207","520451","true","3","382332152268","1487","5301"
"132344418233","287093","460981","true","3","12656694337","197","923"
"261545612147","823483","317609","true","3","179322676619","74","205"
"435779000893","782777","556709","true","3","351701706101","97847","397837"
"300716186413","495413","607001","true","3","142111681122","607","2465"
"255474886661","307471","830891","true","3","238291562356","277","767"
"200017160803","469439","426077","true","3","8126458530","13807","49532"
"670379014733","767587","873359","true","3","247146623257","1511","5416"
"149989467913","832253","180221","true","3","45458584599","9011","31520"
"546022951897","798271","684007","true","3","511048304575","59","173"
"292529736769","321947","908627","true","3","131506334985","557","1589"
"81396954761","321647","253063","true","3","75284375174","139","476"
"219271611677","585041","374797","true","3","39461015451","103","339"
"161400003641","308137","523793","true","3","138576296052","347","1059"
"163752077257","249367","656671","true","3","143797158910","59","227"
"437753218277","726307","602711","true","3","254829168793","17293","66901"
"569012234723","930569","611467","true","3","16910299869","397","1313"
"101920623361","358811","284051","true","3","11642398338","23","86"
"443488918843","946459","468577","true","3","227902594906","1031","3397"
"162975107417","367751","443167","true","3","137713258917","317","1058"
"98095098359","117797","832747","true","3","38863821835","601","3201"
"665189969557","989467","672271","true","3","177111139493","22409","106516"
"149802269983","609743","245681","true","3","5033266648","83","227"
"475849889077","506791","938947","true","3","332215690649","1877","7877"
"328891976521","339649","968329","true","3","190136868797","61","278"
"92889781021","188939","491639","true","3","19032770166","5557","20899"
"333956877169","612847","544927","true","3","276762318048","97","423"
"373282751767","449203","830989","true","3","231955851517","443","1412"
"460230733243","872143","527701","true","3","175404528018","1061","3424"
"285825937417","325627","877771","true","3","191677097729","3251","12979"
"206553458129","275599","749471","true","3","54028427961","251","718"
"263141754571","319169","824459","true","3","241910632692","4987","18339"
"65698262647","599891","109517","true","3","48692024820","131","820"
"302351152447","338669","892763","true","3","141435286450","179","607"
"21279310447","118423","179689","true","3","15597611754","43","127"
"42102524381","144497","291373","true","3","34866403616","821","2519"
"338473928647","505237","669931","true","3","209398322878","163","511"
"793220019673","957037","828829","true","3","19320003991","23","72"
"306517894561","390499","784939","true","3","264781118054","1699","7439"
"364672761923","881591","413653","true","3","62272061877","3833","14560"
"263139266903","927569","283687","true","3","157845148923","3637","13307"
"202136461913","792919","254927","true","3","198132220964","31","137"
"72422172913","232853","311021","true","3","43921664273","2531","9082"
"402067018193","563663","713311","true","3","372727110142","59","177"
