#### DATA MINER - 1557737812864
#### Pollard 3 
"n","p","q","success","bInit","b","i","time (µs)"
"68636803382083747","234461209","292742683","true","3","7928728046972410","6983","25625"
"108929051720562121","145640009","747933569","true","3","46256598537342186","5843231","23392730"
"229250461135783349","341334013","671630873","true","3","136563420693969746","1289","4662"
"565362663819697243","985345771","573770833","true","3","36179882416252058","11953559","50409207"
"623318850652428079","693495119","898807841","true","3","322019919943468250","2063","7434"
"465024864932776723","789093049","589315627","true","3","217825869955431527","32739757","139460792"
"266677508852910293","367898231","724867603","true","3","198781999219736670","20939","78122"
"217423250428934647","994306723","218668189","true","3","122272659754910785","3821","13994"
"377725362153023641","514285841","734465801","true","3","332051605975417680","2083","7918"
"126067102766771927","206143801","611549327","true","3","31031821214513627","11083","42005"
"318677980412736943","669018881","476336303","true","3","187559542813488775","863","3643"
"225080068226443279","395282539","569415661","true","3","79030433777879944","449","1581"
"100973711764792343","885043801","114088943","true","3","4915711164558002","311","1091"
"232016851223698787","912810389","254178583","true","3","224204841249772900","14173","66224"
"237665501618570231","345059083","688767557","true","3","232472995964226580","124147","482354"
"227818667970905887","661730317","344277211","true","3","220811314482853408","1213","4352"
"137082620002177921","410489881","333948841","true","3","76420214932153691","33529","127862"
"90630870323947861","111342841","813980221","true","3","18587232944760859","1597","5762"
"92076918412020853","400787731","229739863","true","3","56332570044907925","3019","10890"
"279658012978910479","318876751","877009729","true","3","116733707130269825","181","615"
"150584552191434391","198955661","756874931","true","3","57825010891236023","127","424"
"68139896837212897","362834711","187798727","true","3","50820669479405243","199","655"
"314249609393046307","829191527","378983141","true","3","242959440919958592","18949157","79254678"
"347967619702803479","397530233","875323663","true","3","226375560944154516","10061","37219"
"267728751928854553","468844111","571040023","true","3","90627814232811548","677","2353"
"100084636062416849","143054123","699627763","true","3","32260695477675669","26423","99288"
"612344116090914421","831382931","736536791","true","3","355099170707568953","7583","29259"
"185988888294310499","311248001","597558499","true","3","1076103547441384","397","1396"
"877943332254569773","920876981","953377433","true","3","424320440149854898","47419","189113"
"34886349012346441","339075127","102886783","true","3","31444867017220337","6803","23499"
"38873429751428989","213864517","181766617","true","3","5595489541698492","398611","1491172"
"455043250081066981","520957343","873475067","true","3","156466797734425821","1748179","7130624"
"222996821897174417","240005477","929132221","true","3","150848527530546677","12451","46320"
"249402920570162617","553744753","450393289","true","3","107910333726021094","1048759","4180040"
"81834183534325751","397632793","205803407","true","3","15223581032486912","7841","27764"
"250594570112105459","658657277","380462767","true","3","81861475230968477","23059","88004"
"218001852928460893","528303361","412645213","true","3","90214867061416820","557","1981"
"612099168969140591","643581383","951082777","true","3","473763712072847085","629023","2551150"
"106109484004751701","910591987","116528023","true","3","101699969226733072","313","1061"
"192229757392718917","961836553","199856989","true","3","89250019895907463","4452947","17984142"
"881868983428908373","918091921","960545413","true","3","466362465459521172","2819","10367"
"288785529394401667","951017611","303659497","true","3","147633376792344500","877","3059"
"153082393847685499","505228453","302996383","true","3","133124262317248054","227","773"
"25017949386363919","226414193","110496383","true","3","24569240153777169","33773","120928"
"341225823183689399","384709499","886970101","true","3","254298104708364677","7151","27445"
"88036984086416093","476128831","184901603","true","3","37898841870898067","89671","335047"
