#### DATA MINER
Timestamp: 1558419997135
Algorithm: pol1
Max index for prime numbers picking: 500
Iterations limit: 100000
User: chl2598a
Available cores: 6
Memory available to JVM: 126877696 bytes

"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","2157479","2707","797","true","1318906","1042347","5","38","19869"
"","12151","419","29","true","7385","10737","0","4","40"
"","1787411","2617","683","true","1176356","717380","33","26","4220"
"","76469","47","1627","true","2820","19090","1","31","107"
"","2174567","3361","647","true","1610883","1211037","6","45","4278"
"","4805243","2689","1787","true","4163464","2746361","68","54","13053"
"","229277","113","2029","true","147717","59577","28","4","2275"
"","571177","211","2707","true","442735","195232","1","6","266"
"","4117973","1237","3329","true","3846077","2048417","28","2","41408"
"","679379","241","2819","true","291355","360040","8","8","3059"
"","7922287","2903","2729","true","3823212","1468879","64","12","33418"
"","6359641","3119","2039","true","5005221","2506902","58","84","685012"
"","4426","2213","2","true","3208","326","0","2","68"
"","1453069","2789","521","true","526288","785665","2","88","22788"
"","579697","877","661","true","299479","573103","9","66","5153"
"","1090813","827","1319","true","599667","1010686","11","22","4876"
"","4320161","1549","2789","true","3504720","3019434","1","88","741"
"","2214841","2731","811","true","513536","76407","2","33","230"
"","11289431","3347","3373","true","8543589","8319340","50","41","157247"
"","3412601","2339","1459","true","2575560","259950","9","4","202884"
"","3702121","2179","1699","true","2549074","2529463","2","2","502"
"","1175621","1553","757","true","579940","39442","15","7","255848"
"","5043179","2389","2111","true","648290","3960449","1","16","1382"
"","5517301","3539","1559","true","4654291","3090614","4","23","23810"
"","5049599","1459","3461","true","2283818","3894554","9","86","909929"
"","1961051","3307","593","true","1512723","792821","0","37","77"
"","201","67","3","true","34","101","0","3","21"
"","3275183","971","3373","true","1822617","351552","6","5","813"
"","11768423","3331","3533","true","3064327","11720177","4","20","9902"
"","245827","839","293","true","108155","188437","2","10","528"
"","6345569","2251","2819","true","6162892","1516828","71","4","37471"
"","3011153","1579","1907","true","1582290","2505278","15","9","193986"
"","9804037","3361","2917","true","2316806","7586854","75","7","23181"
"","2133577","2543","839","true","610765","1928039","3","25","1766"
"","313529","1997","157","true","82265","296884","29","3","2618"
"","1271063","1861","683","true","740050","705217","8","26","16902"
"","10028999","3253","3083","true","5331661","9194660","17","86","33562"
"","1174963","491","2393","true","878474","739680","21","52","3540"
"","3143177","1319","2383","true","2031080","1485373","6","7","1748"
"","1420087","1601","887","true","31928","903849","8","32","23585"
"","1223639","547","2237","true","1040610","44523","4","12","695"
"","8067701","3491","2311","true","5003277","5928392","5","55","49141"
"","248329","167","1487","true","117999","172441","3","8","265"
"","1747553","2879","607","true","1502627","153873","18","5","8771"
"","6510781","3041","2141","true","3794804","2816367","2","44","3112"
"","15415","5","3083","true","3386","11651","2","3","1116"
"","1225681","653","1877","true","677325","832739","22","16","6498"
"","1850683","1063","1741","true","1365759","918236","0","32","61"
"","3988123","2143","1861","true","2277195","784673","62","56","551646"
"","4522631","1583","2857","true","1165941","3914029","5","8","286625"
"","4807163","1451","3313","true","4717907","2055322","19","2","376335"
"","1499431","2029","739","true","685859","1087601","13","6","2420"
"","536573","211","2543","true","304172","349115","1","5","351"
"","8341423","2357","3539","true","628903","3813210","1","7","135642"
"","1108769","2027","547","true","820412","1000375","10","2","5300"
"","6840887","1933","3539","true","4265748","3327913","56","35","14509"
"","37937","59","643","true","20030","1327","9","3","602"
"","4089301","2671","1531","true","1143340","4038704","5","20","2120"
"","3659389","3449","1061","true","2212120","1474034","5","47","1065"
"","248581","751","331","true","58440","25340","9","32","1910"
"","376693","163","2311","true","58705","48762","17","2","2298"
"","2219","7","317","true","67","1018","3","7","113"
"","8566871","3217","2663","true","1027029","2490764","17","14","5697"
"","1297613","1049","1237","true","196061","1162190","13","18","4350"
"","3616777","1283","2819","true","840078","2678066","70","20","26029"
"","25649","1973","13","true","20477","22089","1","4","202"
"","7941","2647","3","true","1592","1286","0","1","19"
"","425941","157","2713","true","314461","176098","14","58","4001"
"","3962423","1303","3041","true","2295953","3806130","22","32","14967"
"","5022071","3391","1481","true","2482336","3025863","5","2","16541"
"","1286143","757","1699","true","259408","778710","2","10","613"
"","642671","239","2689","true","339991","95292","11","54","13462"
"","2089687","967","2161","true","313738","717845","3","50","8841"
"","5116087","1499","3413","true","2360283","373917","11","72","76915"
"","389281","2017","193","true","24500","97112","5","26","6859"
"","6328321","3041","2081","true","5406527","4628031","59","9","22568"
"","440327","1567","281","true","170885","230431","0","41","87"
"","1292573","1123","1151","true","443552","1010667","12","1","8740"
"","3740377","3313","1129","true","2629071","1969784","4","67","15498"
"","1091773","2389","457","true","637572","973924","23","30","134736"
"","898631","293","3067","true","358869","503018","11","21","2747"
"","2256391","1579","1429","true","915340","1431673","73","6","35623"
"","4468223","1277","3499","true","2907925","2517163","5","7","1893"
"","2606213","2131","1223","true","2146409","1128873","8","34","12061"
"","351193","149","2357","true","102887","75620","0","8","41"
"","553781","1381","401","true","470352","301130","6","29","24457"
"","655411","647","1013","true","349115","309648","9","45","20074"
"","3882211","3457","1123","true","3689881","2279393","36","26","35334"
"","756851","863","877","true","306519","431053","9","66","38950"
"","51587","79","653","true","1090","18865","1","7","133"
"","183493","281","653","true","94168","68878","0","2","56"
"","6032893","3121","1933","true","4956097","4516036","54","20","6683"
"","1746889","541","3229","true","140249","1558751","7","1","1521"
"","10032157","3271","3067","true","7081319","4071999","57","10","14267"
"","1629707","2473","659","true","1288000","600004","3","18","680"
"","1276393","1439","887","true","744210","722922","93","32","9417"
"","16571","227","73","true","4604","14605","3","6","615"
"","4324993","3371","1283","true","1720499","2327358","10","15","7841"
"","4864219","2069","2351","true","2882669","3813665","2","16","8431"
"","1129697","2609","433","true","1036995","529952","13","30","24429"
"","3832043","2791","1373","true","2251026","3599079","11","5","5917"
"","8774449","3251","2699","true","4622049","346833","29","66","243480"
"","3349537","3187","1051","true","364136","1087585","10","4","421007"
"","2102189","2777","757","true","350873","210828","6","26","3482"
"","4843","167","29","true","4806","2660","3","2","114"
"","5983177","2711","2207","true","4451610","4570894","15","9","154367"
"","1831541","1543","1187","true","1760860","660511","87","9","20339"
"","5700143","2437","2339","true","4717902","3059551","64","10","141826"
"","77821","59","1319","true","31527","4918","10","3","504"
"","7803073","3083","2531","true","553800","12166","0","22","59"
"","19621","7","2803","true","13333","2630","3","1","215"
"","1266289","491","2579","true","846205","939049","67","9","6170"
"","7797871","2341","3331","true","3943935","592949","5","25","7687"
"","607351","197","3083","true","305354","351599","2","86","4516"
"","4252291","1663","2557","true","857030","3591002","13","13","21973"
"","1223513","1063","1151","true","442532","320287","2","15","1188"
"","1965361","1607","1223","true","1145583","1692264","38","34","21180"
"","950777","2549","373","true","886906","671312","6","1","451"
"","65959","929","71","true","32648","64953","2","5","228"
"","483473","3529","137","true","63980","145358","2","17","5374"
"","348961","151","2311","true","220493","265491","5","1","476"
"","605029","313","1933","true","92550","106948","25","1","3046"
"","241331","647","373","true","58417","225990","8","45","938"
"","6073187","2017","3011","true","1641309","5126685","44","26","31735"
"","754141","599","1259","true","144081","157930","0","33","57"
"","5606291","2473","2267","true","1814455","4616364","15","7","19141"
"","10820681","3191","3391","true","10435010","8175782","8","17","14650"
"","10276697","2927","3511","true","9239050","3829954","13","87","12938"
"","440213","3167","139","true","346952","111069","3","25","43215"
"","1980527","2311","857","true","919544","1820834","12","30","4061"
"","2705119","2887","937","true","1823432","2408120","14","18","9086"
"","288037","2549","113","true","76842","250636","0","4","24"
